Imobiliaria,Banheiros,Quartos,Tamanho,Latitude,Longitude,Dias_Anuncio,VL_Aluguel,Dia,Mes,Ano
RentLingo,1.0,1.0,800,29.4624,-98.5253,1724,729.0,26,12,2019
RentLingo,1.0,1.0,650,30.3054,-97.7497,1724,1060.0,26,12,2019
RentLingo,1.0,1.0,797,30.5118,-97.6873,1724,1003.0,26,12,2019
RentLingo,1.0,1.0,444,30.3054,-97.7497,1724,837.0,26,12,2019
RentLingo,1.0,1.0,692,30.3054,-97.7497,1724,1020.0,26,12,2019
RentLingo,1.0,1.0,693,30.3054,-97.7497,1724,985.0,26,12,2019
RentLingo,1.0,1.0,703,30.3054,-97.7497,1724,1581.0,26,12,2019
RentLingo,1.0,1.0,665,30.6505,-97.6809,1724,1090.0,26,12,2019
RentLingo,1.0,1.0,532,30.3054,-97.7497,1724,962.0,26,12,2019
RentLingo,1.0,1.0,453,30.3054,-97.7497,1724,1722.0,26,12,2019
RentLingo,1.0,1.0,540,30.5118,-97.6873,1724,840.0,26,12,2019
RentLingo,1.0,1.0,615,29.4624,-98.5253,1724,975.0,26,12,2019
RentLingo,1.0,1.0,650,29.4624,-98.5253,1724,975.0,26,12,2019
RentLingo,1.0,1.0,685,30.1213,-93.7711,1724,671.0,26,12,2019
RentLingo,1.0,1.0,530,29.4624,-98.5253,1724,945.0,26,12,2019
RentLingo,1.0,1.0,443,29.7714,-95.4343,1724,665.0,26,12,2019
RentLingo,1.0,1.0,882,29.4624,-98.5253,1724,975.0,26,12,2019
RentLingo,1.0,1.0,652,30.3054,-97.7497,1724,1103.0,26,12,2019
RentLingo,1.0,1.0,600,30.3054,-97.7497,1724,1032.0,26,12,2019
RentLingo,1.0,2.0,448,30.3054,-97.7497,1724,1729.0,26,12,2019
RentLingo,1.0,2.0,420,30.3054,-97.7497,1724,920.0,26,12,2019
RentLingo,1.0,1.0,726,30.4973,-97.8276,1724,1339.0,26,12,2019
RentLingo,1.0,1.0,725,29.5521,-95.307,1724,932.0,26,12,2019
RentLingo,1.0,1.0,450,30.5969,-96.3034,1724,1225.0,26,12,2019
RentLingo,2.0,3.0,1698,32.5285,-97.3119,1724,1525.0,26,12,2019
RentLingo,1.0,1.0,539,29.7714,-95.4343,1724,535.0,26,12,2019
RentLingo,1.0,1.0,1003,29.7714,-95.4343,1724,877.0,26,12,2019
RentLingo,1.0,1.0,939,29.7714,-95.4343,1724,1889.0,26,12,2019
RentLingo,1.0,1.0,580,29.7714,-95.4343,1724,1150.0,26,12,2019
RentLingo,1.0,1.0,550,30.6505,-97.6809,1724,825.0,26,12,2019
RentLingo,3.0,4.0,2528,30.6505,-97.6809,1724,2700.0,26,12,2019
RentLingo,1.0,1.0,660,30.1051,-98.4216,1724,885.0,26,12,2019
RentLingo,1.0,1.0,642,30.3054,-97.7497,1724,985.0,26,12,2019
RentLingo,1.0,1.0,856,32.7407,-97.3394,1724,825.0,26,12,2019
RentLingo,1.0,1.0,697,30.5104,-97.9027,1724,1155.0,26,12,2019
RentLingo,1.0,3.0,597,30.3054,-97.7497,1724,1210.0,26,12,2019
RentLingo,1.0,1.0,777,30.3054,-97.7497,1724,1554.0,26,12,2019
RentLingo,1.0,1.0,792,30.3054,-97.7497,1724,1130.0,26,12,2019
RentLingo,1.0,1.0,658,30.3054,-97.7497,1724,1125.0,26,12,2019
RentLingo,1.0,1.0,677,32.8212,-96.7853,1724,1391.0,26,12,2019
RentLingo,1.0,2.0,508,30.3054,-97.7497,1724,1050.0,26,12,2019
RentLingo,1.0,1.0,724,30.3054,-97.7497,1724,2500.0,26,12,2019
RentLingo,1.0,1.0,835,30.3054,-97.7497,1724,2184.0,26,12,2019
RentLingo,1.0,1.0,843,32.8212,-96.7853,1724,2186.0,26,12,2019
RentLingo,1.0,1.0,610,30.3054,-97.7497,1724,930.0,26,12,2019
RentLingo,1.0,1.0,690,29.4624,-98.5253,1724,895.0,26,12,2019
RentLingo,1.0,1.0,622,29.4624,-98.5253,1724,884.0,26,12,2019
RentLingo,1.0,2.0,579,32.8212,-96.7853,1724,1050.0,26,12,2019
RentLingo,1.0,1.0,840,29.7714,-95.4343,1724,1417.0,26,12,2019
